Academic Department,Course Code,Course Instructor,Course Name,Course Section,ISBN (Normalized),Title Author Combined and Normalized,Publisher,Title,Publication Date
GW - UW-1292,UW 1020 - Abbas - Fall 2023,"Abbas, Nasreen",UW 1020,,0735212201; 9780735212206,exit west a novel - hami,Riverhead Books,Exit west : a novel /,2018.
GW - UW-1292,UW 1020 - Abbas - Fall 2023,"Abbas, Nasreen",UW 1020,,0735217688; 9780735217683; 0525533265; 9780525533269; 0735217696; 9780735217690,home fire - sham,Riverhead Books,Home fire /,2017.
GW - UW-1292,UW 1020 - Abbas - Fall 2023,"Abbas, Nasreen",UW 1020,,073521770X; 9780735217706; 0735217688; 9780735217683,home fire a novel - sham,Penguin Publishing Group,Home Fire : A Novel.,2017.
GW - UW-1292,UW 1020 - Abbas - Fall 2023,"Abbas, Nasreen",UW 1020,,0786564733; 9780786564736; 1594480001; 9781594480003,kite runner - hoss,Penguin Publishing Group,The Kite Runner.,2004.
GW - UW-1292,UW 1020 - Abbas - Fall 2023,"Abbas, Nasreen",UW 1020,,1101666226; 9781101666227; 1101547502; 9781101547502; 159448547X; 9781594485473,kite runner graphic novel - vals,Riverhead Books,The kite runner graphic novel,2011
GW - UW-1292,UW 1020 - Abbas - Fall 2023,"Abbas, Nasreen",UW 1020,,159448547X; 9781594485473,kite runner graphic novel - hoss,Riverhead Books,The kite runner graphic novel /,2011.
GW - UW-1292,UW 1020 - Abbas - Fall 2023,"Abbas, Nasreen",UW 1020,,9780375422300; 0375422307; 9780375714573; 037571457X,persepolis - satr,Pantheon Books,Persepolis /,[2003]
GW - UW-1292,UW 1020 - Donovan - Fall 2023,"Donovan, Julie",UW 1020,,1783785586; 9781783785582; 9781783789405; 1783789409,your wish is my command - muḥ,Granta Books,Your wish is my command /,2023.
GW - UW-1292,UW 1020 - Myers - Fall 2023,"Myers, Danika",UW 1020,,0374539022; 9780374539023,field study - sebr,Farrar Straus and Giroux,Field study /,2021.
GW - UW-1292,UW 1020 - Myers - Fall 2023,"Myers, Danika",UW 1020,,1555977677; 9781555977672,whereas - long,Graywolf Press,Whereas /,[2017]
GW - UW-1292,UW 1020 - Myers - Fall 2023,"Myers, Danika",UW 1020,,9781556593246; 1556593244; 9781556593888; 1556593880,one with others a little book of her days - wrig,Copper Canyon Press,One with others : [a little book of her days] /,[2010]
GW - UW-1292,UW 1020 - Sauer - Fall 2023,"Sauer, Beverly",UW 1020,,9780961392161; 0961392169,cognitive style of powerpoint pitching out corrupts within - tuft,Graphics Press,The cognitive style of PowerPoint : pitching out corrupts within /,2006.
Null,EMSE 6801 - Dano - Fall 2023,"Dano, Eric",EMSE 6801,,1848901542; 9781848901544,architecting systems concepts principles and practice - sill,College Publications,"Architecting systems : concepts, principles and practice /",2014.
Null,EMSE 6801 - Dano - Fall 2023,"Dano, Eric",EMSE 6801,,9781848902350; 1848902352,using systems thinking to solve real world problems - mona,College Publications,Using systems thinking to solve real-world problems /,[2017].
